800
269	38	0
202	101	0
101	355	0
151	501	0
620	132	0
144	571	0
144	685	0
144	413	0
636	133	0
636	222	0
636	166	0
636	20	0
636	255	0
275	65	0
398	712	0
220	82	0
647	245	0
508	683	0
508	222	0
508	513	0
688	116	0
688	270	0
700	765	0
700	126	0
645	40	0
483	657	0
595	627	0
595	315	0
399	198	0
399	223	0
399	765	0
123	376	0
123	116	0
123	751	0
123	223	0
54	425	0
81	116	0
81	368	0
22	657	0
462	431	0
462	340	0
296	467	0
549	340	0
263	767	0
263	495	0
500	749	0
500	223	0
500	736	0
500	175	0
120	143	0
755	657	0
140	116	0
140	505	0
280	75	0
280	8	0
387	560	0
401	116	0
729	231	0
79	334	0
79	389	0
53	765	0
167	154	0
167	480	0
167	41	0
790	116	0
790	751	0
433	271	0
433	247	0
433	769	0
433	116	0
738	455	0
78	260	0
476	766	0
2	334	0
2	439	0
2	799	0
2	634	0
2	265	0
438	721	0
438	145	0
438	455	0
438	72	0
682	666	0
682	340	0
356	500	0
32	695	0
32	504	0
32	622	0
32	57	0
32	495	0
32	226	0
32	196	0
32	473	0
32	703	0
32	560	0
32	637	0
32	86	0
443	223	0
443	64	0
601	467	0
601	199	0
601	719	0
601	445	0
601	72	0
601	431	0
601	726	0
601	485	0
601	40	0
601	619	0
601	571	0
601	255	0
601	412	0
601	177	0
601	751	0
601	672	0
601	427	0
601	20	0
601	114	0
601	772	0
601	116	0
601	685	0
601	413	0
601	455	0
164	347	0
164	436	0
164	237	0
650	185	0
734	27	0
734	237	0
555	557	0
555	405	0
440	253	0
366	121	0
506	546	0
669	259	0
624	379	0
25	718	0
705	788	0
780	740	0
272	347	0
321	689	0
589	424	0
589	8	0
520	775	0
474	478	0
351	689	0
102	344	0
574	223	0
574	107	0
243	194	0
243	580	0
243	314	0
243	107	0
415	288	0
489	584	0
489	176	0
489	116	0
489	751	0
489	312	0
526	756	0
298	141	0
117	691	0
117	769	0
14	168	0
302	426	0
789	347	0
789	106	0
789	237	0
138	769	0
138	388	0
316	436	0
561	578	0
88	310	0
655	237	0
655	436	0
655	689	0
655	562	0
655	347	0
58	692	0
428	621	0
794	692	0
278	16	0
33	582	0
714	692	0
588	69	0
588	368	0
665	385	0
665	769	0
665	513	0
665	579	0
665	118	0
665	564	0
665	436	0
233	391	0
481	776	0
481	769	0
330	757	0
303	492	0
213	222	0
213	341	0
432	490	0
318	615	0
530	391	0
643	689	0
687	745	0
687	760	0
687	517	0
687	109	0
687	429	0
201	502	0
201	408	0
201	429	0
201	731	0
201	6	0
142	689	0
294	709	0
294	237	0
294	771	0
294	609	0
317	615	0
135	341	0
135	273	0
135	160	0
210	28	0
210	222	0
210	286	0
210	62	0
262	160	0
262	273	0
262	341	0
146	290	0
152	42	0
111	391	0
230	341	0
230	273	0
230	160	0
289	492	0
491	469	0
681	754	0
326	584	0
326	176	0
326	751	0
326	312	0
326	116	0
90	760	0
90	517	0
90	429	0
90	109	0
90	745	0
706	769	0
706	454	0
706	169	0
134	408	0
134	281	0
134	28	0
791	679	0
791	408	0
374	408	0
374	283	0
374	513	0
374	345	0
374	459	0
784	363	0
792	94	0
363	228	0
363	696	0
363	237	0
626	221	0
626	541	0
626	114	0
626	745	0
